Cow_ID,Day,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,class1
COW-146,97,39.64,7.12,7.54,699572,9.9,1,1
COW-131,131,39.72,7.23,8.07,416098,12.8,1,1
COW-142,157,38.28,6.43,4.43,129232,22.7,0,0
COW-112,34,40.67,7.07,7.72,227297,9.0,1,1
COW-132,264,38.21,6.67,4.95,124921,24.7,0,0
COW-137,294,38.2,6.54,5.74,160346,20.6,0,0
COW-135,222,39.9,7.26,8.75,322314,5.6,1,1
COW-121,143,39.68,7.41,6.4,251986,16.5,0,1
COW-127,202,38.24,6.54,4.95,91682,19.3,0,0
COW-122,161,39.34,7.21,7.8,779506,13.2,0,1
COW-141,159,38.62,6.56,5.23,176355,26.4,0,0
COW-142,14,38.78,6.63,5.95,172966,20.5,0,0
COW-126,237,40.3,7.19,7.99,1263525,12.9,0,1
COW-106,137,38.3,6.61,6.15,186414,20.8,0,0
COW-129,180,38.18,6.55,4.67,138451,17.0,0,0
COW-112,128,39.75,7.2,8.27,1338270,15.0,0,1
COW-147,205,38.4,6.55,4.81,148545,23.9,0,0
COW-135,102,39.98,7.27,7.71,1385986,13.2,0,1
COW-133,265,38.34,6.3,5.13,152852,23.5,0,0
COW-101,196,38.24,6.48,5.44,130143,27.4,0,0
COW-102,39,37.8,6.71,5.77,120191,23.1,0,0
COW-135,227,38.5,6.45,4.4,103900,15.4,0,0
COW-121,293,38.68,6.65,5.53,90289,20.4,0,0
COW-120,125,38.58,6.62,5.47,131501,25.2,0,0
COW-103,296,39.85,7.35,6.96,563235,13.6,0,1
COW-132,246,39.59,7.34,8.71,676923,8.0,1,1
COW-117,131,39.81,7.11,8.68,317435,15.9,1,1
COW-147,281,40.69,7.09,8.09,1091484,10.8,0,1
COW-150,192,39.67,7.52,7.01,903590,8.0,0,1
COW-139,203,38.23,6.57,5.65,50002,26.4,0,0
COW-141,78,38.8,6.61,5.56,63833,23.7,0,0
COW-101,113,39.23,7.07,8.12,1066369,13.0,0,1
COW-121,224,40.88,7.15,8.33,1213114,12.5,1,1
COW-143,154,39.42,7.26,7.78,284440,12.9,0,1
COW-129,47,38.57,6.63,5.58,159810,16.1,0,0
COW-111,223,38.09,6.6,5.07,161813,21.9,0,0
COW-138,243,38.08,6.78,4.35,101179,19.5,0,0
COW-131,274,40.51,7.28,7.47,1353681,14.7,0,1
COW-136,250,40.23,7.15,8.85,1274842,14.2,1,1
COW-112,103,40.77,7.23,7.03,388521,8.8,1,1
COW-116,188,39.88,7.08,8.01,1346506,7.8,1,1
COW-126,57,39.84,7.15,6.82,1380780,11.7,0,1
COW-116,40,39.91,6.88,9.71,468944,14.2,1,1
COW-110,61,39.38,7.2,8.12,447358,10.2,0,1
COW-121,145,38.65,6.57,5.67,191258,18.1,0,0
COW-133,33,39.47,7.21,8.53,1054992,12.6,1,1
COW-125,106,38.2,6.57,5.49,179070,14.0,0,0
COW-116,269,40.16,7.15,8.95,705150,11.2,0,1
COW-137,42,38.8,6.57,4.98,101192,22.7,0,0
COW-119,210,39.56,7.44,6.63,577799,11.2,0,1
COW-142,95,38.72,6.81,5.21,60318,22.8,0,0
COW-122,72,38.21,6.57,5.38,85758,20.8,0,0
COW-134,149,39.68,7.53,6.4,654535,12.6,1,1
COW-109,133,38.68,6.76,5.01,71359,18.8,0,0
COW-132,210,40.29,7.09,7.41,494773,16.3,1,1
COW-113,163,39.43,7.3,7.82,1385095,10.4,1,1
COW-129,75,40.25,7.24,7.32,1246050,10.4,1,1
COW-105,5,37.99,6.62,5.27,175468,25.2,0,0
COW-137,73,40.72,7.27,7.72,1366777,13.7,0,1
COW-102,95,38.57,6.38,5.44,134647,22.7,0,0
COW-122,222,38.65,6.57,5.04,189601,24.3,0,0
COW-142,3,39.43,7.09,7.22,1226914,11.2,0,1
COW-133,188,39.76,6.88,7.52,1381892,10.7,0,1
COW-137,63,38.51,6.56,4.76,187276,23.7,0,0
COW-106,76,38.48,6.65,5.08,137225,18.6,0,0
COW-103,226,38.3,6.35,4.56,142213,26.5,0,0
COW-126,204,39.77,7.35,8.52,600916,12.1,0,1
COW-123,189,37.81,6.75,5.17,109182,21.9,0,0
COW-134,201,39.29,7.36,6.4,295278,13.2,1,1
COW-133,193,40.08,7.54,7.36,965432,13.2,1,1
COW-139,89,39.66,6.88,8.67,1031568,11.9,1,1
COW-103,40,39.73,7.31,7.55,1370387,13.8,0,1
COW-109,133,38.43,6.77,4.94,191096,16.9,0,0
COW-145,98,38.93,7.23,6.85,1089038,13.8,0,1
COW-101,9,39.38,7.04,6.72,585174,10.5,0,1
COW-136,46,40.47,6.88,8.0,714815,13.3,1,1
COW-118,120,39.62,7.13,8.44,280375,13.0,1,1
COW-125,99,38.96,7.0,7.13,760322,4.0,1,1
COW-101,22,39.31,6.92,7.44,832122,11.8,1,1
COW-143,226,38.54,6.7,5.46,163153,18.4,0,0
COW-133,155,40.27,6.88,7.87,578832,13.3,0,1
COW-139,34,38.21,6.57,5.4,113309,18.4,0,0
COW-129,17,40.01,7.07,6.49,1057412,13.9,1,1
COW-136,59,40.13,6.95,7.52,1144532,6.7,0,1
COW-119,145,38.9,7.52,7.8,512205,16.3,1,1
COW-133,56,38.36,6.75,5.34,82201,22.4,0,0
COW-144,69,38.53,6.7,5.4,188072,18.1,0,0
COW-106,4,39.6,7.4,8.29,1204503,13.7,0,1
COW-144,292,38.64,6.52,4.3,161886,18.5,0,0
COW-115,88,40.62,7.16,6.78,374920,14.1,0,1
COW-112,291,40.28,7.34,8.12,1281114,13.4,1,1
COW-108,187,38.45,6.72,5.04,146053,21.4,0,0
COW-147,69,38.18,6.33,5.2,188900,19.5,0,0
COW-132,111,38.67,6.56,5.14,134335,14.0,0,0
COW-142,87,39.42,7.07,8.03,827396,12.2,1,1
COW-113,233,40.2,6.88,7.58,566822,11.0,1,1
COW-112,293,38.47,6.58,4.98,93925,25.8,0,0
COW-139,3,38.9,7.11,8.04,1276756,11.7,0,1
COW-147,227,39.82,7.2,7.84,236752,10.5,1,1
COW-123,1,37.8,6.4,5.59,180291,20.3,0,0
COW-140,59,40.62,7.45,8.7,501182,16.5,0,1
COW-144,252,38.72,6.53,4.82,167613,18.4,0,0
COW-113,280,40.5,6.88,7.36,677808,15.3,0,1
COW-103,288,37.8,6.42,5.49,151670,15.9,0,0
COW-120,282,38.7,6.56,4.97,98437,16.5,0,0
COW-149,161,39.54,6.97,7.4,1360539,8.5,0,1
COW-135,282,39.94,7.43,8.01,679266,11.2,1,1
COW-123,215,40.36,7.1,7.4,754333,12.8,0,1
COW-118,104,38.3,6.6,4.85,105731,21.0,0,0
COW-111,173,38.25,6.78,6.2,57516,22.1,0,0
COW-101,67,40.28,7.43,7.99,906431,10.1,1,1
COW-113,228,37.97,6.55,4.94,187817,23.5,0,0
COW-123,193,39.61,7.44,8.11,827897,10.8,1,1
COW-136,56,40.04,7.0,7.77,763188,15.9,1,1
COW-102,108,40.64,7.05,7.86,1329111,10.4,0,1
COW-114,153,40.47,7.06,6.4,744597,7.5,0,1
COW-115,109,38.58,6.63,5.28,75407,18.9,0,0
COW-115,233,38.41,6.63,5.14,55223,24.8,0,0
COW-132,82,39.99,7.3,8.73,548859,10.3,0,1
COW-150,82,39.44,7.0,8.32,1030937,12.9,0,1
COW-148,183,39.24,6.88,8.55,822343,11.0,1,1
COW-133,90,38.23,6.36,4.92,93107,19.1,0,0
COW-123,209,39.91,7.02,9.0,1046954,10.2,1,1
COW-108,92,38.2,6.47,5.1,192153,19.8,0,0
COW-127,118,38.26,6.78,6.08,111658,21.5,0,0
COW-148,238,38.04,6.3,5.51,183332,22.8,0,0
COW-103,68,40.68,7.46,8.24,542700,13.5,0,1
COW-139,25,38.26,6.54,5.88,123364,19.8,0,0
COW-147,37,40.24,7.37,7.31,1107122,13.1,1,1
COW-142,212,37.95,6.7,4.47,94072,19.7,0,0
COW-102,254,38.16,6.61,4.25,166001,25.7,0,0
COW-120,136,38.14,6.42,4.71,170760,21.7,0,0
COW-148,288,39.67,7.26,7.16,625065,6.9,0,1
COW-133,111,38.32,6.67,5.09,107686,17.0,0,0
COW-139,75,38.5,6.72,5.49,177003,22.9,0,0
COW-132,47,38.34,6.54,5.29,82523,19.2,0,0
COW-108,82,38.9,7.11,8.0,466735,13.3,0,1
COW-116,237,38.46,6.46,5.58,89740,16.9,0,0
COW-108,51,40.4,7.25,9.73,1124290,10.7,0,1
COW-137,186,39.74,6.93,7.33,1215699,10.2,1,1
COW-140,192,38.45,6.72,5.66,159368,20.3,0,0
COW-129,162,39.95,7.11,8.07,879877,8.7,1,1
COW-114,158,40.19,7.36,8.66,931830,16.4,1,1
COW-125,185,39.81,7.22,9.26,1394597,5.7,1,1
COW-111,181,40.34,7.33,6.91,476594,15.4,1,1
COW-123,84,38.15,6.85,6.2,145847,17.2,0,0
COW-110,191,39.84,7.36,7.92,681283,10.5,0,1
COW-141,227,39.5,7.08,6.91,893608,14.1,1,1
COW-108,7,39.38,6.96,8.28,1164162,13.7,1,1
COW-119,96,40.6,7.16,7.18,854297,14.4,1,1
COW-132,19,38.12,6.59,5.16,51206,14.5,0,0
COW-147,270,40.15,7.35,7.78,800562,11.0,1,1
COW-105,282,39.78,7.49,7.47,1000384,14.8,0,1
COW-125,67,38.11,6.58,5.25,190687,25.9,0,0
COW-122,251,39.32,7.04,7.58,767503,11.1,1,1
COW-105,11,40.43,7.13,7.13,1127492,11.6,0,1
COW-112,168,40.07,7.4,7.24,691980,14.2,0,1
COW-105,214,38.43,6.5,4.86,96642,14.0,0,0
COW-111,296,38.55,6.67,5.42,160056,21.7,0,0
COW-125,124,40.15,7.2,7.34,1380342,9.4,1,1
COW-136,16,39.19,7.09,8.27,1334755,16.5,0,1
COW-132,63,38.32,6.68,5.08,148616,21.8,0,0
COW-117,60,38.04,6.61,4.0,64865,15.0,0,0
COW-131,146,38.9,7.32,8.06,488168,15.5,0,1
COW-136,210,38.28,6.43,4.78,141681,17.7,0,0
COW-107,54,39.92,7.44,7.98,1026075,12.2,1,1
COW-147,262,39.41,7.3,9.46,454930,9.1,1,1
COW-130,25,38.1,6.69,5.45,152461,21.7,0,0
COW-141,143,38.5,6.58,5.14,105175,27.5,0,0
COW-116,266,39.71,7.53,7.98,698661,15.4,1,1
COW-112,10,38.38,6.44,5.18,69099,24.0,0,0
COW-103,257,38.22,6.58,5.48,134524,19.5,0,0
COW-124,286,38.53,6.57,5.14,191666,23.8,0,0
COW-119,94,37.8,6.41,5.38,163192,22.4,0,0
COW-135,233,39.75,7.45,8.25,1001535,11.9,1,1
COW-105,226,39.47,7.37,7.74,823091,9.7,1,1
COW-125,235,39.73,7.19,10.61,579299,13.3,0,1
COW-147,25,38.65,6.42,4.6,187956,18.5,0,0
COW-130,130,39.69,6.93,6.6,704663,13.2,1,1
COW-111,187,39.72,7.02,7.09,657749,9.5,1,1
COW-135,58,39.64,7.03,6.87,1173390,9.9,1,1
COW-126,158,39.78,7.08,8.06,1216940,10.1,1,1
COW-131,59,39.85,7.15,8.11,561879,14.5,1,1
COW-116,39,40.21,7.12,7.67,524006,8.8,1,1
COW-113,267,39.28,7.15,8.0,280956,16.5,1,1
COW-144,62,39.03,7.25,8.57,1142500,10.9,0,1
COW-127,160,39.32,7.31,7.56,1360614,7.3,0,1
COW-108,44,39.97,6.88,6.67,763219,7.9,1,1
COW-135,16,39.72,7.14,8.08,851940,11.6,0,1
COW-116,233,38.14,6.84,4.86,140240,16.5,0,0
COW-116,78,38.4,6.6,4.71,183544,22.1,0,0
COW-139,6,38.65,6.34,5.87,187236,16.3,0,0
COW-149,152,39.93,6.89,8.41,1042656,14.2,0,1
COW-147,192,37.95,6.5,5.24,71310,22.9,0,0
COW-133,129,40.25,6.92,8.24,1232272,8.5,1,1
COW-102,4,38.37,6.51,4.61,80026,22.6,0,0
COW-150,63,39.67,7.2,8.21,527802,12.8,1,1
COW-128,123,40.59,7.21,9.15,675819,9.2,1,1
COW-110,227,40.48,7.16,6.48,743258,11.2,0,1
COW-120,113,39.31,7.35,6.4,1177720,11.9,1,1
COW-115,121,38.2,6.66,5.28,73442,20.7,0,0
COW-107,149,39.81,6.94,6.4,437476,9.3,0,1
COW-111,165,38.17,6.46,4.8,153577,21.7,0,0
COW-137,47,39.17,7.14,7.51,1119030,12.8,1,1
COW-126,224,40.25,6.95,7.73,1327054,6.8,1,1
COW-123,12,40.42,7.0,8.03,792572,16.5,0,1
COW-132,176,39.25,7.2,7.61,1018709,14.1,0,1
COW-149,38,38.2,6.56,5.43,111281,17.3,0,0
COW-142,113,38.29,6.76,5.35,87513,27.2,0,0
COW-133,264,37.95,6.54,4.89,138927,15.2,0,0
COW-126,269,39.49,7.19,7.63,598777,11.1,1,1
COW-102,168,38.44,6.7,5.77,107013,17.4,0,0
COW-108,83,38.46,6.66,5.18,143737,17.8,0,0
COW-112,198,40.44,7.21,6.4,673729,15.8,1,1
COW-118,289,39.85,7.11,7.23,305745,9.6,0,1
COW-109,251,40.24,7.12,6.66,1176607,11.8,1,1
COW-113,39,39.04,7.49,8.35,776519,10.6,1,1
COW-125,56,38.29,6.43,4.64,85864,19.7,0,0
COW-110,26,39.84,6.88,7.74,232406,10.1,0,1
COW-150,178,40.02,7.12,8.2,1357149,5.2,1,1
COW-139,122,39.62,7.24,6.4,1004392,15.4,1,1
COW-150,81,38.42,6.44,4.49,59019,18.1,0,0
COW-128,66,38.31,6.6,5.17,140250,19.7,0,0
COW-115,113,38.06,6.65,5.64,155755,16.7,0,0
COW-135,273,38.32,6.59,5.01,164195,21.5,0,0
COW-144,251,38.31,6.75,4.77,60963,28.8,0,0
COW-147,81,39.51,7.37,8.29,923448,13.7,0,1
COW-132,35,37.96,6.65,5.06,93001,17.0,0,0
COW-128,76,40.01,7.39,7.97,1095997,13.7,0,1
COW-125,141,38.43,6.45,5.05,115287,20.3,0,0
COW-135,228,38.24,6.59,5.96,147542,22.5,0,0
COW-114,264,39.34,7.02,8.17,985446,12.2,0,1
COW-131,62,40.33,7.41,8.66,1350603,13.6,1,1
COW-127,194,38.8,6.65,5.47,112933,19.5,0,0
COW-113,14,40.01,7.16,8.9,553409,9.3,1,1
COW-126,268,39.29,7.34,8.12,908303,12.1,1,1
COW-103,300,38.32,6.39,4.9,145212,20.3,0,0
COW-150,111,38.09,6.75,6.01,129254,30.8,0,0
COW-148,278,39.94,7.55,7.72,553663,12.4,1,1
COW-138,153,39.65,7.36,8.35,1156937,4.0,0,1
COW-144,15,38.77,6.42,5.61,106906,19.5,0,0
COW-121,285,38.9,7.47,6.4,814877,9.4,1,1
COW-116,227,39.43,7.44,8.04,759128,12.9,1,1
COW-104,151,38.65,6.59,4.83,56365,15.8,0,0
COW-124,34,38.49,6.43,4.86,59526,22.2,0,0
COW-130,83,38.74,6.67,5.11,90962,14.0,0,0
COW-121,286,38.2,6.39,4.96,87686,18.6,0,0
COW-149,27,39.14,7.11,7.46,573917,14.2,1,1
COW-142,215,38.4,6.54,4.7,188849,15.6,0,0
COW-113,94,38.62,6.44,4.74,55448,22.1,0,0
COW-102,13,38.29,6.78,4.88,159366,16.4,0,0
COW-128,273,38.46,6.61,4.31,69470,19.5,0,0
COW-138,1,38.27,6.6,5.01,88320,18.2,0,0
COW-133,157,38.61,6.85,5.38,51763,23.5,0,0
COW-106,176,39.89,7.3,8.63,1064862,7.2,1,1
COW-119,104,38.37,6.46,5.34,191886,25.5,0,0
COW-137,209,40.23,7.36,8.11,545169,5.6,0,1
COW-130,158,40.26,7.27,7.66,1323765,8.6,1,1
COW-105,157,39.67,7.74,8.5,260565,11.1,0,1
COW-123,42,38.76,6.5,4.78,84071,15.6,0,0
COW-132,140,37.8,6.66,5.19,190193,17.8,0,0
COW-115,282,38.5,6.62,5.02,110820,19.9,0,0
COW-126,101,39.57,7.19,6.99,1271545,15.0,1,1
COW-139,266,40.1,7.02,6.9,1225417,10.3,1,1
COW-144,90,40.06,7.09,8.31,936643,13.1,1,1
COW-116,109,39.84,7.09,8.7,1372409,9.3,0,1
COW-124,8,38.03,6.58,5.19,51755,27.8,0,0
COW-150,215,40.67,7.14,8.54,245779,10.0,0,1
COW-123,78,38.55,6.56,5.65,158516,19.5,0,0
COW-129,53,38.39,6.51,5.92,103902,21.4,0,0
COW-130,219,39.8,7.01,6.66,613856,11.9,0,1
COW-134,216,38.9,6.98,8.29,1070139,14.4,0,1
COW-108,92,38.73,6.54,5.05,132583,23.7,0,0
COW-149,142,38.24,6.6,5.0,173022,23.7,0,0
COW-115,103,38.01,6.68,4.87,133853,15.8,0,0
COW-110,292,39.94,7.3,8.91,1036230,7.9,0,1
COW-122,223,39.36,7.3,8.59,575140,9.1,1,1
COW-142,202,39.23,7.17,8.64,377761,9.3,0,1
COW-129,154,38.45,6.64,4.61,72450,20.1,0,0
COW-125,73,38.28,6.46,5.16,189220,19.5,0,0
COW-108,149,38.73,6.63,5.69,120041,16.9,0,0
COW-104,81,39.65,7.41,8.41,266447,13.9,1,1
COW-133,63,38.43,6.69,4.12,61162,21.1,0,0
COW-148,5,38.15,6.45,5.33,116949,21.6,0,0
COW-140,288,37.9,6.62,5.46,93923,21.3,0,0
COW-116,141,38.26,6.62,5.01,143051,22.7,0,0
COW-120,171,40.06,7.35,9.22,738684,10.1,0,1
COW-147,18,38.62,6.34,5.4,112870,17.3,0,0
COW-135,289,37.96,6.5,4.81,190220,23.6,0,0
COW-132,277,38.31,6.71,5.1,135714,22.8,0,0
COW-128,99,39.92,6.99,7.66,901277,12.9,1,1
COW-117,226,39.6,6.89,8.44,791324,15.0,1,1
COW-116,41,39.26,7.5,6.83,604940,15.3,0,1
COW-127,227,39.37,7.07,7.19,377275,11.1,0,1
COW-133,64,40.06,7.19,9.06,1047295,14.2,1,1
COW-133,62,38.64,6.75,4.53,150716,15.1,0,0
COW-145,198,39.45,7.2,7.01,1133893,12.4,1,1
COW-141,264,40.06,7.31,7.88,552554,13.2,1,1
COW-150,105,40.42,7.2,8.42,278168,10.9,1,1
COW-103,194,38.74,6.49,5.02,161004,21.6,0,0
COW-133,38,39.27,7.11,6.4,505090,11.9,0,1
COW-101,29,40.79,7.45,7.76,1066858,9.7,0,1
COW-119,120,39.22,7.35,7.56,840791,13.6,1,1
COW-136,29,39.48,7.05,7.26,265313,8.5,1,1
COW-135,126,38.01,6.8,5.01,61055,19.3,0,0
COW-145,154,40.25,7.24,7.7,978477,6.4,0,1
COW-126,80,39.95,7.32,7.09,334100,12.3,0,1
COW-136,295,40.02,7.35,7.45,702835,15.1,1,1
COW-126,14,38.08,6.59,5.51,174198,24.3,0,0
COW-138,118,38.4,6.63,5.74,188880,23.6,0,0
COW-102,23,38.43,6.68,4.76,104219,17.8,0,0
COW-128,128,39.29,7.28,7.14,648817,10.4,0,1
COW-145,180,38.61,6.69,5.4,179421,18.3,0,0
COW-126,38,38.3,6.54,5.52,154176,27.3,0,0
COW-106,26,38.07,6.62,6.03,110402,24.3,0,0
COW-150,144,38.5,6.64,5.03,64774,19.2,0,0
COW-120,229,39.43,7.18,6.4,368816,12.4,1,1
COW-147,117,39.15,7.49,7.75,288980,16.5,1,1
COW-121,154,38.34,6.56,5.42,190438,16.0,0,0
COW-145,17,39.93,7.49,8.02,1269021,13.8,1,1
COW-125,11,38.3,6.58,5.15,91435,18.9,0,0
COW-119,262,39.13,7.29,7.58,1238849,10.3,0,1
COW-122,119,38.05,6.52,4.66,183172,29.7,0,0
COW-148,261,39.72,7.32,6.65,891664,14.1,1,1
COW-107,107,38.75,6.4,5.2,142889,19.4,0,0
COW-121,118,38.63,6.58,4.91,151665,22.2,0,0
COW-118,46,37.86,6.63,5.35,77566,17.3,0,0
COW-119,215,39.85,7.12,7.07,1018408,12.1,0,1
COW-148,297,38.56,6.49,5.79,66429,18.8,0,0
COW-117,138,38.13,6.5,4.74,166971,21.1,0,0
COW-101,40,39.22,7.12,6.63,461667,15.1,1,1
COW-134,3,38.52,6.54,5.27,91888,19.1,0,0
COW-128,269,39.76,7.0,7.23,327764,11.3,0,1
COW-130,162,37.98,6.65,5.88,58387,23.5,0,0
COW-138,251,40.37,7.3,7.5,1023913,13.6,0,1
COW-126,195,38.29,6.52,5.55,165006,21.6,0,0
COW-111,113,38.45,6.56,5.22,51311,14.9,0,0
COW-131,15,38.43,6.41,5.45,152206,21.8,0,0
COW-143,36,40.0,7.19,7.78,772897,14.2,1,1
COW-101,26,38.52,6.78,5.09,131937,15.7,0,0
